Latitude,Longitude,Depth to water (ft),lastLoc
36.76611111111111,-76.12916666666666,7.94,3645580760744d
36.77194444444444,-76.46166666666667,120.82,3645580760745d
36.77194444444444,-76.46194444444444,114.25,3646190762742d
36.77833333333333,-77.07111111111111,108.5,3646190762743d
36.77833333333333,-77.07111111111111,95.8,3646420770416d
36.77861111111111,-89.35638888888889,9.78,3646420770416d
36.78055555555555,-114.72222222222223,396.64,3646430892123d
36.786944444444444,-76.05194444444444,12.9,3646501144320d
36.7875,-76.05222222222221,10.12,3647130760307d
36.79222222222222,-80.11749999999999,19.91,3647150760308d
36.795833333333334,-76.01194444444444,12.67,3647320800703d
36.795833333333334,-76.01194444444444,8.38,3647450760043d
36.805,-94.31472222222222,97.62,3647450760043d
36.805,-94.31472222222222,322.92,3648180941853d
36.80583333333333,-98.24694444444445,4.72,3648180941853d
36.808611111111105,-98.20055555555555,4.13,3648210981449d
36.81444444444444,-76.42277777777778,89.16,3648310981202d
36.81444444444444,-76.42277777777778,89.84,3648520762522d
36.85666666666667,-75.98527777777778,12.91,3648520762522d
36.85666666666667,-75.98527777777778,12.65,3651240755907d
36.86138888888889,-90.5111111111111,116.05,3651240755907d
36.86388888888889,-76.08638888888889,23.21,3651410903040d
36.867777777777775,-105.61527777777778,2.03,3651500760511d
36.86944444444445,-88.65361111111112,8.58,3652041053655d
36.876666666666665,-112.74027777777778,88.56,3652100883913d
36.88527777777778,-76.09805555555555,28.24,3652361124425d
36.88527777777778,-76.09805555555555,18.36,3653070760553d
36.88861111111111,-89.55277777777778,7.97,3653070760553d
36.89361111111111,-76.42111111111112,105.79,3653190893310d
36.89361111111111,-76.42111111111112,94.26,3653370762516d
36.90083333333333,-112.75777777777778,89.62,3653370762516d
36.903055555555554,-76.1211111111111,8.54,3654031124528d
36.903055555555554,-76.1211111111111,8.11,3654110760716d
36.90416666666667,-93.57305555555556,19.24,3654110760716d
36.91416666666667,-93.93194444444445,159.62,3654150933423d
36.915,-77.02888888888889,129.04,3654510935555d
36.915,-77.02888888888889,129.01,3654540770144d
36.925,-77.17777777777778,81.78,3654540770144d
36.925,-77.17777777777778,68.9,3655300771040d
36.933055555555555,-92.05,205.22,3655300771040d
36.93388888888889,-92.66416666666667,285.5,3655590920300d
36.93388888888889,-112.76722222222222,74.42,3656020923951d
36.94555555555555,-94.00361111111111,95.32,3656021124602d
36.94583333333333,-93.72111111111111,85.15,3656440940013d
36.94833333333333,-91.00361111111111,19.29,3656450934316d
36.96555555555556,-76.42,97.0,3656540910013d
36.995,-94.845,28.64,3657560762512d
36.996944444444445,-91.7038888888889,333.28,3659420945042d
37.00138888888889,-93.20666666666666,250.29,3659490914214d
37.014722222222225,-76.89416666666668,128.61,3700050931224d
37.014722222222225,-76.89416666666668,128.43,3700530765339d
37.014722222222225,-76.89416666666668,128.44,3700530765339d
37.04,-94.53388888888888,80.17,3700530765339d
37.043055555555554,-77.19444444444444,99.7,3702240943202d
37.043055555555554,-77.19444444444444,98.77,3702350771140d
37.04666666666667,-90.07388888888889,8.15,3702350771140d
37.065,-93.54972222222221,178.47,3702480900426d
37.094166666666666,-93.82777777777777,194.98,3703540933259d
37.094166666666666,-93.82777777777777,63.49,3705390934940d
37.1,-94.37638888888888,16.35,3705390934940d
37.10111111111111,-82.67750000000001,37.65,3706000942235d
37.10666666666667,-92.41305555555556,574.15,3706040824039d
37.11527777777778,-93.06472222222222,219.34,3706240922447d
37.12,-76.69222222222223,9.51,3706550930353d
37.13666666666666,-80.43861111111111,4.77,3707120764132d
37.14111111111111,-94.46138888888889,570.49,3708120802619d
37.14472222222222,-76.46444444444445,11.69,3708280942741d
37.151944444444446,-93.24472222222222,268.98,3708410762752d
