Latitude,Longitude,Depth to water (ft),lastLoc,Address
41.59305556,-72.42694444,4.27,4134310835235d,Connecticut
41.57527778,-83.87638889,13.22,4134280740857d,Ohio
41.57444444,-74.14916667,3.7,4133580714338d,New York
41.56611111,-71.72722222,15,4133460754213d,Rhode Island
41.56277778,-75.70361111,54.91,4132520713236d,Pennsylvania
41.54777778,-71.54333333,9.4,4131301005312d,Rhode Island
41.525,-100.8866667,101.49,4131210854813d,Nebraska
41.5225,-85.80361111,14.35,	413108084415d,Indiana
4.219444444,-808.7375,8.31,4130260763529d,Other
41.50722222,-76.59138889,26.78,4129320713743d,Pennsylvania
41.49222222,-71.62861111,6.91,4129180713210d,Rhode Island
41.48833333,-71.53611111,11.76,4129160731217d,Rhode Island
41.48777778,-73.20472222,12.52,4128460744702d,
41.47944444,-74.78388889,10.23,4128440714228d,New York
41.47888889,-71.70777778,33.08,4128250724105d,Rhode Island
41.47361111,-72.68472222,10.28,4128230790306d,Connecticut
41.47305556,-79.05166667,7.61,4128030844804d,Pennsylvania
41.4675,-84.80111111,24.73,4127390801042d,Ohio
41.46083333,-80.17833333,25.1,4127320780342d,Pennsylvania
41.45888889,-78.06166667,21.67,4127140733313d,Pennsylvania
41.45388889,-73.55361111,2.26,4127080761502d,New York
41.45222222,-76.25055556,42.62,4126370743623d,Pennsylvania
41.44361111,-74.60638889,6.1,4125221001212d,New York
41.42277778,-100.2033333,3.05,4124580783246d,Nebraska
41.41611111,-78.54611111,4.47,4124290731651d,Pennsylvania
41.40805556,-73.28083333,4.2,4124270765944d,Connecticut
41.4075,-76.99555556,99.04,4123500865128d,Pennsylvania
41.39722222,-86.85777778,6.4,4123460703534d,Indiana
41.39611111,-70.59277778,18.97,4123310811230d,Massachusetts
41.39194444,-81.20833333,13.21,4123060842400d,Ohio
41.385,-84.4,33.81,4123040844406d,Ohio
41.38444444,-84.735,58.23,4121540714629d,Ohio
41.365,-71.77472222,12.48,4121490734456d,Rhode Island
41.36361111,-73.74888889,13.38,4120200791339d,New York
41.33888889,-79.2275,35.93,4119580795402d,Pennsylvania
41.33277778,-79.90055556,118.46,4119220852218d,Pennsylvania
41.32277778,-85.37166667,31.48,4119110962416d,Indiana
41.31972222,-96.40444444,5.19,4119030962455d,Nebraska
41.3175,-96.41527778,8.53,4118450962112d,Nebraska
41.3125,-96.35333333,3.98,4118330751336d,Nebraska
41.30916667,-75.22666667,34.35,4118320723255d,Pennsylvania
41.30888889,-72.54861111,4.91,4118190824939d,Connecticut
41.30527778,-82.8275,56.34,4118020735930d,Ohio
41.30055556,-73.99166667,16.35,4117570962025d,New York
41.29916667,-96.34027778,6.84,4117560761627d,Nebraska
41.29888889,-76.27416667,31.86,4117380972643d,Pennsylvania
41.29388889,-97.44527778,15.31,4117360961702d,Nebraska
41.29333333,-96.28388889,13.86,4117340785221d,Nebraska
41.29277778,-78.8725,31.78,4117330961855d,Pennsylvania
41.2925,-96.31527778,4.18,	411438081085d,Nebraska
4.195277778,-808.1902778,76.61,4114240774622d,Other
41.24,-77.77277778,48.45,4114210734812d,Pennsylvania
41.23916667,-73.80333333,12.17,4114121052720d,New York
41.23666667,-105.4555556,38,4112230752349d,Wyoming
41.20638889,-75.39694444,9.68,4111260994225d,Pennsylvania
41.19055556,-99.70694444,1.97,4110050962815d,Nebraska
41.16805556,-96.47083333,40.04,4109430975750d,Nebraska
41.16194444,-97.96388889,6.53,4109140745404d,Nebraska
41.15388889,-74.90111111,18.32,4108530735540d,New Jersey
41.14805556,-73.92777778,6.96,4107390863652d,New York
41.1275,-86.61444444,10.75,4107270764029d,Indiana
41.12416667,-76.67472222,29.93,4107050763349d,Pennsylvania
41.11805556,-76.56361111,23.15,4106280734133d,Pennsylvania
41.10777778,-73.6925,26.87,4106270783136d,Connecticut
41.1075,-78.52666667,23.29,4106180981134d,Pennsylvania
41.105,-98.19277778,7.45,4105380802808d,Nebraska
41.09388889,-80.46888889,16.75,4105010795244d,Pennsylvania
41.08361111,-79.87888889,17.84,4104490744833d,Pennsylvania
41.08027778,-74.80916667,21.08,4104280872315d,New Jersey
41.07444444,-87.3875,20.84,4103370852642d,Indiana
41.06027778,-85.445,52.59,4102480991647d,Indiana
41.04666667,-99.27972222,108.37,4102070742700d,Nebraska
41.03527778,-74.45,3.84,4101560984426d,New Jersey
41.03222222,-98.74055556,9.42,4101540993947d,Nebraska
41.03166667,-99.66305556,43.92,4101230754254d,Nebraska
41.02305556,-75.715,40.36,4101020983742d,Pennsylvania
41.01722222,-98.62833333,68.49,4100570950751d,Nebraska
41.01583333,-95.13083333,13.17,4100250734528d,Iowa
41.00694444,-73.75777778,23.02,4059280771155d,New York
40.99111111,-77.19861111,35.68,4059020871415d,Pennsylvania
40.98388889,-87.2375,33.92,4058551000739d,Indiana
40.98194444,-100.1275,59.36,4058550983830d,Nebraska
40.98194444,-98.64166667,98.96,	405843081182d,Nebraska
4.106666667,-308.2061111,38.21,4058290861758d,Other
40.97472222,-86.29944444,10.57,4057380995045d,Indiana
40.96055556,-99.84583333,32.1,4056320983735d,Nebraska
40.94222222,-98.62638889,29.65,4055030984418d,Nebraska
40.9175,-98.73833333,129.38,4054510914833d,Nebraska
40.91416667,-91.80916667,16.66,4054451000740d,Iowa
40.9125,-100.1277778,4.96,4054350984326d,Nebraska
